line,update,reason,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,ko-update,ko-reason,ru-update,ru-reason,vi-update,vi-reason,zh-tw-update,zh-tw-reason,ja-update,ja-reason
2,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
4,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
10,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
14,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
16,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16.png,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA
16,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders
16,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
18,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
20,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
28,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
